country,country_short,party_short,wave,party_name_english,party_name_original,family,family_label,poppa_id,partyfacts_id,n_experts,mean_n_experts,manichean,indivisible,generalwill,peoplecentrism,antielitism,peopleimm,peoplewealthy,elitepol,elitemedia,eliteecon,elitecult,lrecon,salienceecon,immigration,nativism,lifestyle,laworder,saliencecult,lroverall,eu,climatepolicy,climatescience,complex,emotional,intradem,personalised,populism_mean,populism_cfa,populism_cfa_rescaled
France,FRA,LP,Wave 1 - 2018,The Patriots,Les Patriotes,1,Radical Right,1113,NA,10,8.8125,8.666667,6.888889,8.125,8.4,8.4,NA,NA,NA,NA,NA,NA,2.4444444,NA,0.2,9.1,3.1111112,8.2,NA,7.888889,0.1,NA,NA,1.375,8.285714,NA,9.3,8.0961112,2.842667971545409,8.962310280371494
France,FRA,EC,Wave 2 - 2023,In Common,En Commun,7,Green,1114,NA,9,3.44,3.75,1.75,3.75,3.25,2.25,NA,NA,6,NA,7,NA,5.25,6.25,NA,NA,NA,5.25,4.5,4.75,NA,NA,NA,NA,NA,NA,NA,2.95,-1.3404393898918627,3.0859449179714322
France,FRA,Horizons,Wave 2 - 2023,Horizons,Horizons,3,Liberal,1116,NA,9,7.64,3.25,3.5,3.25,1.875,1.5,6.285714285714286,8,6.857142857142857,6.375,6.375,6.375,7.625,8.375,5.5,2.5,6.75,5.25,4.625,6.75,8.75,5.75,7.5,NA,NA,NA,NA,2.675,-1.9615006869378904,2.2134874889480054
France,FRA,R!,Wave 2 - 2023,Reconquest (Zemmour),Reconquête (Zemmour),1,Radical Right,1118,9064,9,8.36,9.444444444444445,8.444444444444445,9,8.666666666666666,9.444444444444445,0.5555555555555556,5.375,4.125,4.625,5.375,4.625,8.5,4.375,0,8.777777777777779,0.5555555555555556,9.333333333333334,9.555555555555555,10,0.625,0.75,1,NA,NA,NA,NA,9,3.423687116292153,9.778517105124841
Germany,DEU,CDU,Wave 1 - 2018,Christian Democratic Union,Christlich Demokratische Union Deutschlands,4,Christian Democratic,1201,1375,18,17.8125,3.2777777,3.4117646,3.0588236,1.8888888,1.2777778,NA,NA,NA,NA,NA,NA,6.3333335,NA,4.5,5.611111,3.8888888,6.3333335,NA,5.7222223,7.7777777,NA,NA,7.352941,3.6666667,3.9444444,7.9444447,2.5830065,-2.008310670424077,2.1477295387436786
Germany,DEU,CDU,Wave 2 - 2023,Christian Democratic Union,Christlich Demokratische Union Deutschlands,4,Christian Democratic,1201,1375,29,27.72,3.5357142857142856,3.2142857142857144,3.357142857142857,2.4642857142857144,1.0689655172413792,4.413793103448276,7.551724137931035,6.730769230769231,5.846153846153846,6.92,6.260869565217392,6.586206896551724,7.482758620689655,3.5517241379310347,6.206896551724138,3.103448275862069,7.137931034482759,6.714285714285714,6.413793103448276,7.931034482758621,3.4827586206896552,5.3478260869565215,NA,NA,NA,NA,2.7280788177339903,-1.6578749297722961,2.640016317490277
Germany,DEU,SPD,Wave 1 - 2018,Social Democratic Party of Germany,Sozialdemoraktische Partei Deutschlands,5,Social Democratic,1202,383,18,17.8125,3.6666667,2.8235295,3.1176472,2.8888888,3.0555556,NA,NA,NA,NA,NA,NA,3.5555556,NA,5.888889,3.7777777,6.3333335,4.6666665,NA,4.111111,7.9444447,NA,NA,7.470588,4.2222223,6.111111,5.611111,3.11045756,-1.7043675569197494,2.5747041846258685
Germany,DEU,SPD,Wave 2 - 2023,Social Democratic Party of Germany,Sozialdemoraktische Partei Deutschlands,5,Social Democratic,1202,383,29,27.76,2.5714285714285716,2.0357142857142856,2.5357142857142856,3,1.5517241379310345,7.344827586206897,4.724137931034483,6.653846153846154,5.384615384615385,7.04,6.125,3.3793103448275863,7.517241379310345,6.275862068965517,2.7241379310344827,7,4.827586206896552,5,3.7586206896551726,8.206896551724139,5.172413793103448,6.521739130434782,NA,NA,NA,NA,2.3389162561576353,-2.09786688898538,2.021922330066072
Germany,DEU,CSU,Wave 1 - 2018,Christian Social Union,Christlich-Soziale Union in Bayern,4,Christian Democratic,1203,1731,18,17.8125,5.5,5,4.7058825,3.8888888,2.5555556,NA,NA,NA,NA,NA,NA,5.6666665,NA,2.4444444,7.3333335,2.4444444,8,NA,7.111111,5.611111,NA,NA,5.529412,6.3333335,3.3333333,7.8333335,4.33006538,-0.27372595192584526,4.584447671273092
Germany,DEU,CSU,Wave 2 - 2023,Christian Social Union,Christlich-Soziale Union in Bayern,4,Christian Democratic,1203,1731,29,27.92,4.928571428571429,4.392857142857143,4.714285714285714,3.9642857142857144,2.6206896551724137,3.2758620689655173,7.206896551724138,6.888888888888889,6.076923076923077,6.4,6.32,6.413793103448276,6.862068965517241,2.5172413793103448,7.206896551724138,1.9655172413793103,7.724137931034483,7.642857142857143,7.275862068965517,6.275862068965517,2.9655172413793105,4.48,NA,NA,NA,NA,4.124137931034483,-0.417211567704382,4.382881268666123
Germany,DEU,Linke,Wave 1 - 2018,The Left,Die Linke,6,Radical Left,1204,1545,18,17.5,6.5555553,4.2941175,5.625,6.4117646,6.5,NA,NA,NA,NA,NA,NA,1.2222222,NA,5.882353,3.7222223,6.7058825,3.8333333,NA,1.2777778,4.2777777,NA,NA,3.9411764,6.4444447,5.352941,4.8333335,5.87728748,0.8401936337558766,6.1492649002408974
Germany,DEU,Linke,Wave 2 - 2023,The Left,Die Linke,6,Radical Left,1204,1545,29,27.4,6.678571428571429,4.964285714285714,5.703703703703703,6.535714285714286,7.758620689655173,8.10344827586207,1.2413793103448276,7.222222222222222,5.7407407407407405,7.964285714285714,5.956521739130435,0.7931034482758621,8.206896551724139,6.689655172413793,2.206896551724138,8.137931034482758,3.037037037037037,5.214285714285714,1,3.7857142857142856,4.703703703703703,6.333333333333333,NA,NA,NA,NA,6.328179164386061,0.8885609326579574,6.217210543367633
Germany,DEU,AfD,Wave 1 - 2018,Alternative for Germany,Alternative für Deutschland,1,Radical Right,1205,1976,18,17.6875,9,8.764706,8.882353,8.235294,8.833333,NA,NA,NA,NA,NA,NA,6.611111,NA,0.44444445,9.666667,1.2777778,9.222222,NA,8.944445,0.9444444,NA,NA,1.882353,8.888889,4.2941175,6.6666665,8.7431372,3.1828313004533224,9.440166531918036
